OTU	Sample	Abundance	SampleID	Group	Covariate	Kingdom	Phylum	Class	Order
ASV2	Indv148	0.0510173989973459	Indv148	Case	Site2	Bacteria	Firmicutes	Bacilli	Bacillales
ASV17	Indv156	0.0508519141775347	Indv156	Control	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV2	Indv15	0.0506826403205103	Indv15	Control	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV19	Indv24	0.0503984651711924	Indv24	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales
ASV17	Indv119	0.0501772859138283	Indv119	Control	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV4	Indv157	0.0500069325692101	Indv157	Control	Site1	Bacteria	Firmicutes	Negativicutes	Veillonellales
ASV17	Indv126	0.049756161855806	Indv126	Control	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV9	Indv96	0.0497486840543001	Indv96	Control	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales
ASV9	Indv160	0.0496992833219289	Indv160	Case	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales
ASV2	Indv5	0.0496683036098906	Indv5	Control	Site2	Bacteria	Firmicutes	Bacilli	Bacillales
ASV4	Indv130	0.0494620917945127	Indv130	Control	Site1	Bacteria	Firmicutes	Negativicutes	Veillonellales
ASV2	Indv39	0.0491766601038124	Indv39	Case	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV59	Indv13	0.049126213592233	Indv13	Case	Site1	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales
ASV17	Indv44	0.049043384532471	Indv44	Case	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV17	Indv1	0.0487466352624495	Indv1	Control	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV17	Indv19	0.0484785512839543	Indv19	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV17	Indv10	0.0478737630382455	Indv10	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV9	Indv128	0.0478327956235096	Indv128	Case	Site2	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales
ASV17	Indv131	0.0475907551541798	Indv131	Control	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV9	Indv153	0.0475279576221307	Indv153	Case	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales
ASV19	Indv120	0.0474328902788637	Indv120	Control	Site2	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales
ASV2	Indv9	0.0474309926364721	Indv9	Control	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV17	Indv100	0.0473794781070323	Indv100	Control	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV2	Indv126	0.0472518782127323	Indv126	Control	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV13	Indv138	0.0472019464720195	Indv138	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales
ASV3	Indv12	0.0470712807431294	Indv12	Case	Site1	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales
ASV2	Indv33	0.0467371726781508	Indv33	Case	Site2	Bacteria	Firmicutes	Bacilli	Bacillales
ASV2	Indv147	0.0467087898904263	Indv147	Control	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV17	Indv86	0.0466355180996463	Indv86	Control	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV125	Indv121	0.0465532676812892	Indv121	Case	Site2	Bacteria	Firmicutes	Clostridia	Clostridiales
ASV17	Indv145	0.0462979403409091	Indv145	Control	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV17	Indv21	0.0462919884618963	Indv21	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV4	Indv148	0.0462253022707166	Indv148	Case	Site2	Bacteria	Firmicutes	Negativicutes	Veillonellales
ASV3	Indv92	0.0458511342439377	Indv92	Control	Site1	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales
ASV19	Indv52	0.0456846673095468	Indv52	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales
ASV3	Indv93	0.0456270157465377	Indv93	Control	Site1	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales
ASV2	Indv40	0.045374480377651	Indv40	Control	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV9	Indv11	0.0449429070665204	Indv11	Case	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales
ASV2	Indv54	0.0448569218870843	Indv54	Control	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV4	Indv57	0.0447752181395489	Indv57	Case	Site1	Bacteria	Firmicutes	Negativicutes	Veillonellales
ASV13	Indv155	0.0444670739986422	Indv155	Case	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales
ASV19	Indv157	0.0443222258168877	Indv157	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales
ASV13	Indv140	0.0442952229486953	Indv140	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales
ASV2	Indv19	0.0441442778684875	Indv19	Case	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV3	Indv151	0.04372528268256	Indv151	Control	Site1	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales
ASV2	Indv7	0.0436124019197075	Indv7	Case	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV17	Indv87	0.0428358208955224	Indv87	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV46	Indv153	0.0428193054738081	Indv153	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales
ASV19	Indv38	0.0425883611259663	Indv38	Case	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales
ASV13	Indv68	0.0425743020791052	Indv68	Case	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales
ASV2	Indv77	0.0424901185770751	Indv77	Control	Site2	Bacteria	Firmicutes	Bacilli	Bacillales
ASV4	Indv46	0.0424871635727586	Indv46	Control	Site2	Bacteria	Firmicutes	Negativicutes	Veillonellales
ASV19	Indv45	0.0424767131758977	Indv45	Case	Site2	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales
ASV2	Indv50	0.0424316343561433	Indv50	Control	Site2	Bacteria	Firmicutes	Bacilli	Bacillales
ASV17	Indv76	0.0423863162286191	Indv76	Control	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV17	Indv102	0.0423834129112434	Indv102	Control	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales
ASV46	Indv61	0.0423728813559322	Indv61	Control	Site2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales
ASV13	Indv156	0.0423327724021876	Indv156	Control	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales
ASV2	Indv85	0.0422665253222994	Indv85	Control	Site1	Bacteria	Firmicutes	Bacilli	Bacillales
ASV3	Indv136	0.0419147126716073	Indv136	Case	Site2	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales
ASV9	Indv112	0.0417569594932489	Indv112	Case	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales
ASV46	Indv97	0.0415271966527197	Indv97	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales
