OTU	Sample	Abundance	SampleID	Group	Covariate	Kingdom	Phylum	Class	Order	Family	Genus
ASV17	Indv74	0.00954812923281892	Indv74	Control	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	<1%_Abundance
ASV18	Indv157	0.00952072838193835	Indv157	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	<1%_Abundance
ASV17	Indv88	0.00945892962164281	Indv88	Control	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	<1%_Abundance
ASV32	Indv47	0.00945742407790115	Indv47	Case	Site2	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	<1%_Abundance
ASV13	Indv131	0.00944685401936902	Indv131	Control	Site1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	<1%_Abundance
ASV50	Indv55	0.00943468005782546	Indv55	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	<1%_Abundance
ASV21	Indv79	0.00942491111236526	Indv79	Case	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	<1%_Abundance
ASV17	Indv119	0.00940152573331901	Indv119	Control	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	<1%_Abundance
ASV50	Indv46	0.00936636009704903	Indv46	Control	Site2	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	<1%_Abundance
ASV41	Indv139	0.00933562428407789	Indv139	Control	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	<1%_Abundance
ASV18	Indv86	0.0093009038906598	Indv86	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	<1%_Abundance
ASV46	Indv71	0.00929845508158761	Indv71	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	<1%_Abundance
ASV17	Indv80	0.00925640234495526	Indv80	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	<1%_Abundance
ASV41	Indv143	0.00922818791946309	Indv143	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	<1%_Abundance
ASV46	Indv96	0.00922151422804448	Indv96	Control	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	<1%_Abundance
ASV41	Indv141	0.00921550094517958	Indv141	Case	Site2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	<1%_Abundance
ASV50	Indv10	0.00918249086208434	Indv10	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	<1%_Abundance
ASV2	Indv157	0.00915099135739705	Indv157	Control	Site1	Bacteria	Firmicutes	Bacilli	Bacillales	Gemellaceae	<1%_Abundance
ASV24	Indv124	0.00915060824631284	Indv124	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	<1%_Abundance
ASV35	Indv148	0.00914184606310823	Indv148	Case	Site2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	<1%_Abundance
ASV213	Indv110	0.00910342717258262	Indv110	Case	Site1	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]	<1%_Abundance
ASV18	Indv145	0.00909978693181818	Indv145	Control	Site2	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	<1%_Abundance
ASV117	Indv3	0.00908906471900994	Indv3	Case	Site2	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]	<1%_Abundance
ASV19	Indv159	0.00907561004928477	Indv159	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	<1%_Abundance
ASV33	Indv51	0.00903679486784073	Indv51	Case	Site2	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	<1%_Abundance
ASV18	Indv94	0.00902492598605673	Indv94	Case	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	<1%_Abundance
ASV19	Indv106	0.00901162790697674	Indv106	Case	Site2	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	<1%_Abundance
ASV9	Indv35	0.00892652029798825	Indv35	Case	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	<1%_Abundance
ASV137	Indv100	0.00890092879256966	Indv100	Control	Site1	Bacteria	Absconditabacteria_(SR1)	Absconditabacteria_(SR1)_[C-1]	Absconditabacteria_(SR1)_[O-1]	Absconditabacteria_(SR1)_[F-1]	<1%_Abundance
ASV24	Indv96	0.00886531839949341	Indv96	Control	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	<1%_Abundance
ASV104	Indv107	0.00885376433537346	Indv107	Control	Site1	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	<1%_Abundance
ASV44	Indv71	0.00882810521364738	Indv71	Case	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	<1%_Abundance
ASV17	Indv47	0.00882692913937441	Indv47	Case	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	<1%_Abundance
ASV24	Indv83	0.00879663323102237	Indv83	Control	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	<1%_Abundance
ASV46	Indv109	0.00876473603280369	Indv109	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	<1%_Abundance
ASV21	Indv47	0.00872184664961995	Indv47	Case	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	<1%_Abundance
ASV50	Indv122	0.0087133068268336	Indv122	Control	Site2	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	<1%_Abundance
ASV21	Indv102	0.00869906468702989	Indv102	Control	Site1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	<1%_Abundance
ASV13	Indv4	0.00869409017424106	Indv4	Case	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	<1%_Abundance
ASV24	Indv50	0.00860187443831044	Indv50	Control	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	<1%_Abundance
ASV24	Indv31	0.00857913589528148	Indv31	Control	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	<1%_Abundance
ASV32	Indv101	0.00857266650160931	Indv101	Control	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	<1%_Abundance
ASV213	Indv98	0.00854837421107294	Indv98	Control	Site1	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]	<1%_Abundance
ASV33	Indv70	0.00854786137164904	Indv70	Control	Site1	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	<1%_Abundance
ASV59	Indv115	0.00852375770765325	Indv115	Case	Site2	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	<1%_Abundance
ASV59	Indv141	0.00850661625708885	Indv141	Case	Site2	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	<1%_Abundance
ASV35	Indv37	0.00849773518511586	Indv37	Case	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	<1%_Abundance
ASV33	Indv65	0.0084863708883533	Indv65	Case	Site2	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	<1%_Abundance
ASV50	Indv68	0.00847878049880485	Indv68	Case	Site2	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	<1%_Abundance
ASV17	Indv143	0.00847315436241611	Indv143	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	<1%_Abundance
ASV17	Indv120	0.00847015897836852	Indv120	Control	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	<1%_Abundance
ASV46	Indv62	0.00845969100620138	Indv62	Control	Site2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	<1%_Abundance
ASV46	Indv126	0.00843548174509029	Indv126	Control	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	<1%_Abundance
ASV41	Indv34	0.00842874201025497	Indv34	Control	Site2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	<1%_Abundance
ASV59	Indv34	0.00842874201025497	Indv34	Control	Site2	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	<1%_Abundance
ASV4	Indv12	0.0084227751840978	Indv12	Case	Site1	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	<1%_Abundance
