OTU	Sample	Abundance	SampleID	Group	Covariate	Kingdom	Phylum	Class	Order	Family
ASV6	Indv32	0.0282128871484514	Indv32	Control	Site2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae
ASV21	Indv40	0.0281829070668639	Indv40	Control	Site1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
ASV2	Indv89	0.0281390593047035	Indv89	Case	Site1	Bacteria	Firmicutes	Bacilli	Bacillales	Gemellaceae
ASV17	Indv115	0.0278835690968444	Indv115	Case	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV137	Indv31	0.027860080484677	Indv31	Control	Site2	Bacteria	Absconditabacteria_(SR1)	Absconditabacteria_(SR1)_[C-1]	Absconditabacteria_(SR1)_[O-1]	Absconditabacteria_(SR1)_[F-1]
ASV17	Indv81	0.0276942109258582	Indv81	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV19	Indv6	0.0276394602006206	Indv6	Case	Site2	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae
ASV18	Indv111	0.0275141782244932	Indv111	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae
ASV18	Indv79	0.0274846210282747	Indv79	Case	Site2	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae
ASV13	Indv57	0.0273240542254159	Indv57	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae
ASV50	Indv99	0.0273071778867588	Indv99	Control	Site1	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae
ASV17	Indv92	0.0271977856670076	Indv92	Control	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV13	Indv156	0.0271350441733277	Indv156	Control	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae
ASV2	Indv151	0.0271263855623016	Indv151	Control	Site1	Bacteria	Firmicutes	Bacilli	Bacillales	Gemellaceae
ASV21	Indv159	0.0270465200144248	Indv159	Control	Site1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
ASV18	Indv99	0.0270285332144449	Indv99	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae
ASV17	Indv143	0.0268456375838926	Indv143	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV17	Indv125	0.0267494929006085	Indv125	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV18	Indv19	0.0266884369897581	Indv19	Case	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae
ASV21	Indv138	0.0266558529332252	Indv138	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
ASV21	Indv51	0.026647750053974	Indv51	Case	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
ASV19	Indv59	0.0266134710161934	Indv59	Control	Site2	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae
ASV18	Indv85	0.0265704613069794	Indv85	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae
ASV46	Indv82	0.0265275800160961	Indv82	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae
ASV17	Indv137	0.0262787423744721	Indv137	Case	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV17	Indv38	0.0261558656230249	Indv38	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV17	Indv6	0.0261239806595944	Indv6	Case	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV92	Indv102	0.0260971940610897	Indv102	Control	Site1	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae_[XIV]
ASV13	Indv89	0.0260940695296524	Indv89	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae
ASV18	Indv71	0.0260139657730019	Indv71	Case	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae
ASV17	Indv65	0.0259682949183611	Indv65	Case	Site2	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV50	Indv3	0.0258470277946845	Indv3	Case	Site2	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae
ASV125	Indv150	0.0258286698235041	Indv150	Control	Site1	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
ASV17	Indv152	0.0258073664433337	Indv152	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV2	Indv90	0.0257673750128324	Indv90	Case	Site1	Bacteria	Firmicutes	Bacilli	Bacillales	Gemellaceae
ASV17	Indv117	0.0257243014743788	Indv117	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV9	Indv60	0.0257224309965012	Indv60	Case	Site2	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae
ASV3	Indv20	0.0256291167032596	Indv20	Case	Site1	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae
ASV18	Indv59	0.0255339122271767	Indv59	Control	Site2	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae
ASV2	Indv102	0.0255085355484335	Indv102	Control	Site1	Bacteria	Firmicutes	Bacilli	Bacillales	Gemellaceae
ASV9	Indv151	0.0253996546538183	Indv151	Control	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae
ASV46	Indv111	0.0253804256274917	Indv111	Control	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae
ASV46	Indv143	0.025251677852349	Indv143	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae
ASV4	Indv59	0.0251114761793006	Indv59	Control	Site2	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae
ASV2	Indv74	0.0250915954257799	Indv74	Control	Site2	Bacteria	Firmicutes	Bacilli	Bacillales	Gemellaceae
ASV46	Indv129	0.0250037207917845	Indv129	Case	Site2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae
ASV18	Indv103	0.0249728555917481	Indv103	Control	Site1	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae
ASV4	Indv61	0.0248734316530927	Indv61	Control	Site2	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae
ASV19	Indv120	0.0247589262444618	Indv120	Control	Site2	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae
ASV21	Indv94	0.0246872314010123	Indv94	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
ASV2	Indv97	0.0246338912133891	Indv97	Case	Site1	Bacteria	Firmicutes	Bacilli	Bacillales	Gemellaceae
ASV18	Indv45	0.024349708190005	Indv45	Case	Site2	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae
ASV50	Indv141	0.0242793005671077	Indv141	Case	Site2	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae
ASV41	Indv153	0.0242789876397881	Indv153	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae
ASV17	Indv23	0.0242779405609041	Indv23	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV17	Indv53	0.0242635721820985	Indv53	Case	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV21	Indv63	0.0240437158469945	Indv63	Control	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
ASV6	Indv152	0.0239639831259527	Indv152	Case	Site1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae
ASV21	Indv4	0.0238907849829352	Indv4	Case	Site2	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
ASV46	Indv133	0.023873000484731	Indv133	Case	Site1	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae
ASV21	Indv52	0.0238669238187078	Indv52	Control	Site1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
ASV13	Indv153	0.0238375515008829	Indv153	Case	Site1	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae
ASV125	Indv111	0.0238081868718064	Indv111	Control	Site1	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
ASV4	Indv104	0.0237185929648241	Indv104	Control	Site2	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae
ASV17	Indv123	0.0236539879886208	Indv123	Control	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV9	Indv139	0.0235967926689576	Indv139	Control	Site1	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae
ASV19	Indv146	0.023452653852936	Indv146	Case	Site2	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae
ASV17	Indv151	0.023338717763048	Indv151	Control	Site1	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae
ASV2	Indv106	0.023328488372093	Indv106	Case	Site2	Bacteria	Firmicutes	Bacilli	Bacillales	Gemellaceae
