OTU	Sample	Abundance	SampleID	Group	Covariate	Kingdom	Phylum	Class
ASV124	Indv26	0	Indv26	Case	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv58	0	Indv58	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv117	0	Indv117	Case	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv156	0	Indv156	Control	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv101	0	Indv101	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv125	0	Indv125	Case	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv149	0	Indv149	Case	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv27	0	Indv27	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv50	0	Indv50	Control	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv11	0	Indv11	Case	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv157	0	Indv157	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv35	0	Indv35	Case	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv59	0	Indv59	Control	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv118	0	Indv118	Control	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv1	0	Indv1	Control	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv123	0	Indv123	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv126	0	Indv126	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv28	0	Indv28	Case	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv51	0	Indv51	Case	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv110	0	Indv110	Case	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv158	0	Indv158	Case	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv36	0	Indv36	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv6	0	Indv6	Case	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv119	0	Indv119	Control	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv142	0	Indv142	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv68	0	Indv68	Case	Site2	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv91	0	Indv91	Case	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv70	0	Indv70	Control	Site1	Bacteria	Actinobacteria	<1%_Abundance
ASV124	Indv94	0	Indv94	Case	Site1	Bacteria	Actinobacteria	<1%_Abundance
