OTU	Sample	Abundance	SampleID	Group	Covariate	Kingdom	Phylum
ASV3	Indv61	0.223420647149461	Indv61	Control	Site2	Bacteria	Proteobacteria
ASV19	Indv78	0.22321315221531	Indv78	Control	Site2	Bacteria	Fusobacteria
ASV3	Indv122	0.223035276203367	Indv122	Control	Site2	Bacteria	Proteobacteria
ASV3	Indv114	0.222519211493485	Indv114	Control	Site2	Bacteria	Proteobacteria
ASV3	Indv70	0.22244395662875	Indv70	Control	Site1	Bacteria	Proteobacteria
ASV3	Indv55	0.222285627330138	Indv55	Case	Site1	Bacteria	Proteobacteria
ASV13	Indv55	0.221448679905653	Indv55	Case	Site1	Bacteria	Bacteroidetes
ASV1	Indv76	0.221332220831595	Indv76	Control	Site2	Bacteria	Firmicutes
ASV13	Indv9	0.221029248426509	Indv9	Control	Site1	Bacteria	Bacteroidetes
ASV13	Indv83	0.220991678005253	Indv83	Control	Site1	Bacteria	Bacteroidetes
ASV13	Indv125	0.220905172413793	Indv125	Case	Site1	Bacteria	Bacteroidetes
ASV13	Indv26	0.220534235726114	Indv26	Case	Site1	Bacteria	Bacteroidetes
ASV13	Indv71	0.219110676942002	Indv71	Case	Site1	Bacteria	Bacteroidetes
ASV13	Indv129	0.218336061913975	Indv129	Case	Site2	Bacteria	Bacteroidetes
ASV13	Indv124	0.217892130476908	Indv124	Case	Site1	Bacteria	Bacteroidetes
ASV13	Indv114	0.217841630471099	Indv114	Control	Site2	Bacteria	Bacteroidetes
ASV13	Indv62	0.217191812739721	Indv62	Control	Site2	Bacteria	Bacteroidetes
ASV3	Indv160	0.216912161918825	Indv160	Case	Site1	Bacteria	Proteobacteria
ASV3	Indv62	0.216689966663082	Indv62	Control	Site2	Bacteria	Proteobacteria
ASV3	Indv44	0.215683104284559	Indv44	Case	Site2	Bacteria	Proteobacteria
ASV13	Indv34	0.214932921261502	Indv34	Control	Site2	Bacteria	Bacteroidetes
ASV3	Indv64	0.214134134134134	Indv64	Case	Site2	Bacteria	Proteobacteria
ASV13	Indv108	0.2124830665797	Indv108	Case	Site2	Bacteria	Bacteroidetes
ASV3	Indv115	0.21227783822996	Indv115	Case	Site2	Bacteria	Proteobacteria
ASV19	Indv96	0.211263703645071	Indv96	Control	Site1	Bacteria	Fusobacteria
ASV3	Indv74	0.210336405018319	Indv74	Control	Site2	Bacteria	Proteobacteria
ASV13	Indv128	0.209519801748726	Indv128	Case	Site2	Bacteria	Bacteroidetes
ASV19	Indv145	0.209206321022727	Indv145	Control	Site2	Bacteria	Fusobacteria
ASV19	Indv139	0.208132875143184	Indv139	Control	Site1	Bacteria	Fusobacteria
ASV19	Indv154	0.207868344465149	Indv154	Control	Site1	Bacteria	Fusobacteria
ASV3	Indv91	0.207301231802912	Indv91	Case	Site1	Bacteria	Proteobacteria
ASV13	Indv20	0.205877385576761	Indv20	Case	Site1	Bacteria	Bacteroidetes
ASV13	Indv103	0.205470244558192	Indv103	Control	Site1	Bacteria	Bacteroidetes
ASV3	Indv26	0.204190366477068	Indv26	Case	Site1	Bacteria	Proteobacteria
ASV3	Indv154	0.203806452963715	Indv154	Control	Site1	Bacteria	Proteobacteria
ASV19	Indv25	0.203694982792972	Indv25	Case	Site1	Bacteria	Fusobacteria
ASV13	Indv107	0.203577158476439	Indv107	Control	Site1	Bacteria	Bacteroidetes
ASV3	Indv37	0.203458990004867	Indv37	Case	Site1	Bacteria	Proteobacteria
ASV13	Indv104	0.203283082077052	Indv104	Control	Site2	Bacteria	Bacteroidetes
ASV13	Indv135	0.201481170229529	Indv135	Control	Site2	Bacteria	Bacteroidetes
ASV13	Indv154	0.201042691735935	Indv154	Control	Site1	Bacteria	Bacteroidetes
ASV3	Indv6	0.200584542108682	Indv6	Case	Site2	Bacteria	Proteobacteria
ASV3	Indv23	0.200432538021487	Indv23	Case	Site1	Bacteria	Proteobacteria
ASV13	Indv96	0.200221632959987	Indv96	Control	Site1	Bacteria	Bacteroidetes
ASV19	Indv66	0.199519467198719	Indv66	Control	Site2	Bacteria	Fusobacteria
ASV19	Indv18	0.198990416270393	Indv18	Control	Site1	Bacteria	Fusobacteria
ASV13	Indv88	0.198245442070182	Indv88	Control	Site1	Bacteria	Bacteroidetes
ASV13	Indv118	0.198117306299783	Indv118	Control	Site2	Bacteria	Bacteroidetes
ASV13	Indv85	0.198098690284854	Indv85	Control	Site1	Bacteria	Bacteroidetes
ASV13	Indv91	0.197446808510638	Indv91	Case	Site1	Bacteria	Bacteroidetes
ASV13	Indv99	0.195998662505573	Indv99	Control	Site1	Bacteria	Bacteroidetes
ASV13	Indv37	0.195260734473852	Indv37	Case	Site1	Bacteria	Bacteroidetes
ASV19	Indv58	0.19507857371935	Indv58	Control	Site1	Bacteria	Fusobacteria
ASV13	Indv74	0.194570889308316	Indv74	Control	Site2	Bacteria	Bacteroidetes
ASV13	Indv126	0.194279688941611	Indv126	Control	Site1	Bacteria	Bacteroidetes
ASV3	Indv53	0.193662257567151	Indv53	Case	Site1	Bacteria	Proteobacteria
ASV3	Indv17	0.193057444466032	Indv17	Case	Site1	Bacteria	Proteobacteria
ASV13	Indv60	0.192950628482571	Indv60	Case	Site2	Bacteria	Bacteroidetes
ASV46	Indv153	0.192539729252501	Indv153	Case	Site1	Bacteria	Actinobacteria
ASV13	Indv111	0.192374642034926	Indv111	Control	Site1	Bacteria	Bacteroidetes
ASV13	Indv139	0.191809851088202	Indv139	Control	Site1	Bacteria	Bacteroidetes
ASV3	Indv161	0.191350272115416	Indv161	Case	Site1	Bacteria	Proteobacteria
ASV13	Indv148	0.190872898849897	Indv148	Case	Site2	Bacteria	Bacteroidetes
ASV3	Indv89	0.190838445807771	Indv89	Case	Site1	Bacteria	Proteobacteria
ASV13	Indv152	0.189230387464993	Indv152	Case	Site1	Bacteria	Bacteroidetes
ASV13	Indv133	0.189166262724188	Indv133	Case	Site1	Bacteria	Bacteroidetes
ASV3	Indv52	0.188926390228222	Indv52	Control	Site1	Bacteria	Proteobacteria
ASV19	Indv101	0.18869150779896	Indv101	Control	Site1	Bacteria	Fusobacteria
ASV3	Indv1	0.188635598923284	Indv1	Control	Site2	Bacteria	Proteobacteria
ASV19	Indv149	0.187362901931411	Indv149	Case	Site2	Bacteria	Fusobacteria
ASV3	Indv36	0.186935006773007	Indv36	Control	Site1	Bacteria	Proteobacteria
ASV3	Indv72	0.186800554484904	Indv72	Case	Site1	Bacteria	Proteobacteria
ASV19	Indv31	0.186750983947287	Indv31	Control	Site2	Bacteria	Fusobacteria
ASV3	Indv86	0.186673071044933	Indv86	Control	Site1	Bacteria	Proteobacteria
ASV13	Indv48	0.18624701795505	Indv48	Case	Site2	Bacteria	Bacteroidetes
ASV3	Indv56	0.185444952062287	Indv56	Control	Site1	Bacteria	Proteobacteria
ASV13	Indv64	0.185385385385385	Indv64	Case	Site2	Bacteria	Bacteroidetes
ASV13	Indv161	0.185296106656362	Indv161	Case	Site1	Bacteria	Bacteroidetes
ASV3	Indv141	0.184959829867675	Indv141	Case	Site2	Bacteria	Proteobacteria
ASV19	Indv26	0.183382532939736	Indv26	Case	Site1	Bacteria	Fusobacteria
ASV13	Indv131	0.183233319470026	Indv131	Control	Site1	Bacteria	Bacteroidetes
ASV13	Indv27	0.182984392843548	Indv27	Control	Site1	Bacteria	Bacteroidetes
ASV13	Indv41	0.181990242261104	Indv41	Case	Site1	Bacteria	Bacteroidetes
ASV13	Indv149	0.180782194639131	Indv149	Case	Site2	Bacteria	Bacteroidetes
ASV13	Indv43	0.18002949394598	Indv43	Control	Site2	Bacteria	Bacteroidetes
ASV13	Indv35	0.179613402907683	Indv35	Case	Site1	Bacteria	Bacteroidetes
ASV13	Indv19	0.179605165503933	Indv19	Case	Site1	Bacteria	Bacteroidetes
ASV13	Indv78	0.179224323981211	Indv78	Control	Site2	Bacteria	Bacteroidetes
ASV13	Indv2	0.179065875551499	Indv2	Case	Site2	Bacteria	Bacteroidetes
ASV13	Indv94	0.178492980613122	Indv94	Case	Site1	Bacteria	Bacteroidetes
ASV13	Indv65	0.177263315115924	Indv65	Case	Site2	Bacteria	Bacteroidetes
ASV3	Indv121	0.177260519247986	Indv121	Case	Site2	Bacteria	Proteobacteria
ASV3	Indv22	0.176764869371873	Indv22	Case	Site1	Bacteria	Proteobacteria
ASV19	Indv136	0.176709998785081	Indv136	Case	Site2	Bacteria	Fusobacteria
ASV19	Indv74	0.175752192738981	Indv74	Control	Site2	Bacteria	Fusobacteria
ASV13	Indv28	0.175619156962441	Indv28	Case	Site1	Bacteria	Bacteroidetes
ASV3	Indv150	0.174821830009088	Indv150	Control	Site1	Bacteria	Proteobacteria
ASV13	Indv109	0.174782162993337	Indv109	Case	Site1	Bacteria	Bacteroidetes
ASV13	Indv22	0.174737599319884	Indv22	Case	Site1	Bacteria	Bacteroidetes
ASV3	Indv21	0.17465339164418	Indv21	Case	Site1	Bacteria	Proteobacteria
ASV3	Indv9	0.173145748488214	Indv9	Control	Site1	Bacteria	Proteobacteria
ASV13	Indv113	0.17225185528757	Indv113	Case	Site1	Bacteria	Bacteroidetes
ASV13	Indv67	0.171157832395617	Indv67	Case	Site2	Bacteria	Bacteroidetes
ASV13	Indv115	0.169931084512151	Indv115	Case	Site2	Bacteria	Bacteroidetes
ASV19	Indv15	0.169707106460772	Indv15	Control	Site1	Bacteria	Fusobacteria
ASV3	Indv63	0.169465143235635	Indv63	Control	Site2	Bacteria	Proteobacteria
ASV13	Indv151	0.169275330028408	Indv151	Control	Site1	Bacteria	Bacteroidetes
ASV13	Indv147	0.168919459329761	Indv147	Control	Site1	Bacteria	Bacteroidetes
ASV13	Indv40	0.168780384696681	Indv40	Control	Site1	Bacteria	Bacteroidetes
ASV13	Indv75	0.167327196130442	Indv75	Control	Site2	Bacteria	Bacteroidetes
ASV19	Indv88	0.167075083316997	Indv88	Control	Site1	Bacteria	Fusobacteria
ASV13	Indv56	0.166655942346052	Indv56	Control	Site1	Bacteria	Bacteroidetes
ASV13	Indv150	0.16630793514134	Indv150	Control	Site1	Bacteria	Bacteroidetes
ASV13	Indv70	0.165768642320229	Indv70	Control	Site1	Bacteria	Bacteroidetes
ASV19	Indv76	0.165762759004311	Indv76	Control	Site2	Bacteria	Fusobacteria
ASV19	Indv123	0.165472552944895	Indv123	Control	Site1	Bacteria	Fusobacteria
ASV13	Indv119	0.164123777801655	Indv119	Control	Site2	Bacteria	Bacteroidetes
ASV13	Indv63	0.164000662361318	Indv63	Control	Site2	Bacteria	Bacteroidetes
