ta1	ta2	ta3	ta4	ta5	ta6	ta7
Streptococcus constellatus	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus constellatus
Streptococcus cristatus	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus cristatus
Streptococcus equinus	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus equinus
Streptococcus gallolyticus	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus gallolyticus
Streptococcus gordonii	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus gordonii
Streptococcus henryi	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus henryi
Streptococcus ilei	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus ilei
Streptococcus infantis	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus infantis
Streptococcus intermedius	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus intermedius
Streptococcus massiliensis	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus massiliensis
Streptococcus mitis	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus mitis
Streptococcus mutans	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus mutans
Streptococcus oralis	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus oralis
Streptococcus parasanguinis	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus parasanguinis
Streptococcus peroris	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus peroris
Streptococcus pharyngis	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus pharyngis
Streptococcus pneumoniae	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus pneumoniae
Streptococcus pseudopneumoniae	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus pseudopneumoniae
Streptococcus pyogenes	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus pyogenes
Streptococcus rubneri	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus rubneri
Streptococcus salivarius	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus salivarius
Streptococcus sanguinis	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus sanguinis
Streptococcus sinensis	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus sinensis
Streptococcus sobrinus	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus sobrinus
Streptococcus sp.	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus sp.
Streptococcus suis	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus suis
Streptococcus thermophilus	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus thermophilus
Streptococcus timonensis	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus timonensis
Streptococcus vestibularis	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Streptococcus vestibularis
Unclassified Streptococcus	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Streptococcus	s_Unclassified Streptococcus
Unclassified Streptococcaceae	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Streptococcaceae	g_Unclassified Streptococcaceae	s_Unclassified Streptococcaceae
Unclassified Lactobacillales	k_Bacteria	p_Firmicutes	c_Bacilli	o_Lactobacillales	f_Unclassified Lactobacillales	g_Unclassified Lactobacillales	s_Unclassified Lactobacillales
Unclassified Bacilli	k_Bacteria	p_Firmicutes	c_Bacilli	o_Unclassified Bacilli	f_Unclassified Bacilli	g_Unclassified Bacilli	s_Unclassified Bacilli
Clostridium perfringens	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Clostridiaceae	g_Clostridium	s_Clostridium perfringens
Clostridium vitabionis	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Clostridiaceae	g_Clostridium	s_Clostridium vitabionis
Unclassified Clostridium	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Clostridiaceae	g_Clostridium	s_Unclassified Clostridium
[Clostridium] sp.	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Clostridiaceae	g_Clostridium	s_[Clostridium] sp.
Unclassified Clostridiaceae	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Clostridiaceae	g_Unclassified Clostridiaceae	s_Unclassified Clostridiaceae
Clostridiales bacterium	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Clostridiales bacterium (no family in NCBI)	g_Clostridiales bacterium (no genus in NCBI)	s_Clostridiales bacterium
Unclassified Acetobacterium	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Eubacteriaceae	g_Acetobacterium	s_Unclassified Acetobacterium
Unclassified Eubacterium	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Eubacteriaceae	g_Eubacterium	s_Unclassified Eubacterium
Unclassified Gallibacter	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Eubacteriaceae	g_Gallibacter	s_Unclassified Gallibacter
Unclassified Eubacteriaceae	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Eubacteriaceae	g_Unclassified Eubacteriaceae	s_Unclassified Eubacteriaceae
Mogibacterium diversum	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Eubacteriales Family XIII. Incertae Sedis	g_Mogibacterium	s_Mogibacterium diversum
Unclassified Mogibacterium	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Eubacteriales Family XIII. Incertae Sedis	g_Mogibacterium	s_Unclassified Mogibacterium
Unclassified Butyrivibrio	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Lachnospiraceae	g_Butyrivibrio	s_Unclassified Butyrivibrio
Catonella morbi	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Lachnospiraceae	g_Catonella	s_Catonella morbi
Catonella sp.	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Lachnospiraceae	g_Catonella	s_Catonella sp.
Unclassified Catonella	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Lachnospiraceae	g_Catonella	s_Unclassified Catonella
Johnsonella ignava	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Lachnospiraceae	g_Johnsonella	s_Johnsonella ignava
Unclassified Johnsonella	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Lachnospiraceae	g_Johnsonella	s_Unclassified Johnsonella
Lachnoanaerobaculum gingivalis	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Lachnospiraceae	g_Lachnoanaerobaculum	s_Lachnoanaerobaculum gingivalis
Lachnoanaerobaculum orale	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Lachnospiraceae	g_Lachnoanaerobaculum	s_Lachnoanaerobaculum orale
Lachnoanaerobaculum saburreum	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Lachnospiraceae	g_Lachnoanaerobaculum	s_Lachnoanaerobaculum saburreum
Lachnoanaerobaculum sp.	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Lachnospiraceae	g_Lachnoanaerobaculum	s_Lachnoanaerobaculum sp.
Lachnoanaerobaculum umeaense	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Lachnospiraceae	g_Lachnoanaerobaculum	s_Lachnoanaerobaculum umeaense
Unclassified Lachnoanaerobaculum	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Lachnospiraceae	g_Lachnoanaerobaculum	s_Unclassified Lachnoanaerobaculum
Lachnospiraceae bacterium	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Lachnospiraceae	g_Lachnospiraceae bacterium (no genus in NCBI)	s_Lachnospiraceae bacterium
Unclassified Lacrimispora	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Lachnospiraceae	g_Lacrimispora	s_Unclassified Lacrimispora
Oribacterium sinus	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Lachnospiraceae	g_Oribacterium	s_Oribacterium sinus
Oribacterium sp.	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Lachnospiraceae	g_Oribacterium	s_Oribacterium sp.
Unclassified Oribacterium	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Lachnospiraceae	g_Oribacterium	s_Unclassified Oribacterium
Shuttleworthia satelles	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Lachnospiraceae	g_Shuttleworthia	s_Shuttleworthia satelles
Stomatobaculum longum	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Lachnospiraceae	g_Stomatobaculum	s_Stomatobaculum longum
Unclassified Stomatobaculum	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Lachnospiraceae	g_Stomatobaculum	s_Unclassified Stomatobaculum
Unclassified Lachnospiraceae	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Lachnospiraceae	g_Unclassified Lachnospiraceae	s_Unclassified Lachnospiraceae
Acetivibrio ethanolgignens	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Oscillospiraceae	g_Acetivibrio	s_Acetivibrio ethanolgignens
Unclassified Faecalibacterium	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Oscillospiraceae	g_Faecalibacterium	s_Unclassified Faecalibacterium
Unclassified Oscillospiraceae	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Oscillospiraceae	g_Unclassified Oscillospiraceae	s_Unclassified Oscillospiraceae
Clostridioides difficile	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Peptostreptococcaceae	g_Clostridioides	s_Clostridioides difficile
Unclassified Peptoanaerobacter	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Peptostreptococcaceae	g_Peptoanaerobacter	s_Unclassified Peptoanaerobacter
Peptostreptococcaceae bacterium	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Peptostreptococcaceae	g_Peptostreptococcaceae bacterium (no genus in NCBI)	s_Peptostreptococcaceae bacterium
Peptostreptococcus sp.	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Peptostreptococcaceae	g_Peptostreptococcus	s_Peptostreptococcus sp.
Unclassified Peptostreptococcus	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Peptostreptococcaceae	g_Peptostreptococcus	s_Unclassified Peptostreptococcus
Unclassified Peptostreptococcaceae	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Peptostreptococcaceae	g_Unclassified Peptostreptococcaceae	s_Unclassified Peptostreptococcaceae
Unclassified Eubacteriales	k_Bacteria	p_Firmicutes	c_Clostridia	o_Eubacteriales	f_Unclassified Eubacteriales	g_Unclassified Eubacteriales	s_Unclassified Eubacteriales
Unclassified Clostridia	k_Bacteria	p_Firmicutes	c_Clostridia	o_Unclassified Clostridia	f_Unclassified Clostridia	g_Unclassified Clostridia	s_Unclassified Clostridia
Unclassified Catenibacterium	k_Bacteria	p_Firmicutes	c_Erysipelotrichia	o_Erysipelotrichales	f_Coprobacillaceae	g_Catenibacterium	s_Unclassified Catenibacterium
Unclassified Coprobacillaceae	k_Bacteria	p_Firmicutes	c_Erysipelotrichia	o_Erysipelotrichales	f_Coprobacillaceae	g_Unclassified Coprobacillaceae	s_Unclassified Coprobacillaceae
Holdemanella sp.	k_Bacteria	p_Firmicutes	c_Erysipelotrichia	o_Erysipelotrichales	f_Erysipelotrichaceae	g_Holdemanella	s_Holdemanella sp.
Solobacterium moorei	k_Bacteria	p_Firmicutes	c_Erysipelotrichia	o_Erysipelotrichales	f_Erysipelotrichaceae	g_Solobacterium	s_Solobacterium moorei
Solobacterium sp.	k_Bacteria	p_Firmicutes	c_Erysipelotrichia	o_Erysipelotrichales	f_Erysipelotrichaceae	g_Solobacterium	s_Solobacterium sp.
Unclassified Solobacterium	k_Bacteria	p_Firmicutes	c_Erysipelotrichia	o_Erysipelotrichales	f_Erysipelotrichaceae	g_Solobacterium	s_Unclassified Solobacterium
Erysipelotrichia bacterium	k_Bacteria	p_Firmicutes	c_Erysipelotrichia	o_Erysipelotrichia bacterium (no order in NCBI)	f_Erysipelotrichia bacterium (no family in NCBI)	g_Erysipelotrichia bacterium (no genus in NCBI)	s_Erysipelotrichia bacterium
Unclassified Erysipelotrichia	k_Bacteria	p_Firmicutes	c_Erysipelotrichia	o_Unclassified Erysipelotrichia	f_Unclassified Erysipelotrichia	g_Unclassified Erysipelotrichia	s_Unclassified Erysipelotrichia
Unclassified Anaerovibrio	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Selenomonadales	f_Selenomonadaceae	g_Anaerovibrio	s_Unclassified Anaerovibrio
Centipeda periodontii	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Selenomonadales	f_Selenomonadaceae	g_Centipeda	s_Centipeda periodontii
Mitsuokella sp.	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Selenomonadales	f_Selenomonadaceae	g_Mitsuokella	s_Mitsuokella sp.
Unclassified Mitsuokella	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Selenomonadales	f_Selenomonadaceae	g_Mitsuokella	s_Unclassified Mitsuokella
Selenomonas artemidis	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Selenomonadales	f_Selenomonadaceae	g_Selenomonas	s_Selenomonas artemidis
Selenomonas felix	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Selenomonadales	f_Selenomonadaceae	g_Selenomonas	s_Selenomonas felix
Selenomonas flueggei	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Selenomonadales	f_Selenomonadaceae	g_Selenomonas	s_Selenomonas flueggei
Selenomonas infelix	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Selenomonadales	f_Selenomonadaceae	g_Selenomonas	s_Selenomonas infelix
Selenomonas massiliensis	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Selenomonadales	f_Selenomonadaceae	g_Selenomonas	s_Selenomonas massiliensis
Selenomonas noxia	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Selenomonadales	f_Selenomonadaceae	g_Selenomonas	s_Selenomonas noxia
Selenomonas sp.	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Selenomonadales	f_Selenomonadaceae	g_Selenomonas	s_Selenomonas sp.
Selenomonas sputigena	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Selenomonadales	f_Selenomonadaceae	g_Selenomonas	s_Selenomonas sputigena
Selenomonas timonae	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Selenomonadales	f_Selenomonadaceae	g_Selenomonas	s_Selenomonas timonae
Unclassified Selenomonas	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Selenomonadales	f_Selenomonadaceae	g_Selenomonas	s_Unclassified Selenomonas
Unclassified Selenomonadaceae	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Selenomonadales	f_Selenomonadaceae	g_Unclassified Selenomonadaceae	s_Unclassified Selenomonadaceae
Unclassified Selenomonadales	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Selenomonadales	f_Unclassified Selenomonadales	g_Unclassified Selenomonadales	s_Unclassified Selenomonadales
Unclassified Negativicutes	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Unclassified Negativicutes	f_Unclassified Negativicutes	g_Unclassified Negativicutes	s_Unclassified Negativicutes
Unclassified Veillonellales	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Veillonellales	f_Unclassified Veillonellales	g_Unclassified Veillonellales	s_Unclassified Veillonellales
Anaeroglobus sp.	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Veillonellales	f_Veillonellaceae	g_Anaeroglobus	s_Anaeroglobus sp.
Colibacter massiliensis	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Veillonellales	f_Veillonellaceae	g_Colibacter	s_Colibacter massiliensis
Dialister invisus	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Veillonellales	f_Veillonellaceae	g_Dialister	s_Dialister invisus
Unclassified Dialister	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Veillonellales	f_Veillonellaceae	g_Dialister	s_Unclassified Dialister
Megasphaera micronuciformis	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Veillonellales	f_Veillonellaceae	g_Megasphaera	s_Megasphaera micronuciformis
Unclassified Megasphaera	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Veillonellales	f_Veillonellaceae	g_Megasphaera	s_Unclassified Megasphaera
Unclassified Veillonellaceae	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Veillonellales	f_Veillonellaceae	g_Unclassified Veillonellaceae	s_Unclassified Veillonellaceae
Unclassified Veillonella	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Veillonellales	f_Veillonellaceae	g_Veillonella	s_Unclassified Veillonella
Veillonella atypica	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Veillonellales	f_Veillonellaceae	g_Veillonella	s_Veillonella atypica
Veillonella denticariosi	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Veillonellales	f_Veillonellaceae	g_Veillonella	s_Veillonella denticariosi
Veillonella dispar	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Veillonellales	f_Veillonellaceae	g_Veillonella	s_Veillonella dispar
Veillonella nakazawae	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Veillonellales	f_Veillonellaceae	g_Veillonella	s_Veillonella nakazawae
Veillonella parvula	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Veillonellales	f_Veillonellaceae	g_Veillonella	s_Veillonella parvula
Veillonella rodentium	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Veillonellales	f_Veillonellaceae	g_Veillonella	s_Veillonella rodentium
Veillonella rogosae	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Veillonellales	f_Veillonellaceae	g_Veillonella	s_Veillonella rogosae
Veillonella sp.	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Veillonellales	f_Veillonellaceae	g_Veillonella	s_Veillonella sp.
Veillonella tobetsuensis	k_Bacteria	p_Firmicutes	c_Negativicutes	o_Veillonellales	f_Veillonellaceae	g_Veillonella	s_Veillonella tobetsuensis
Helcococcus ovis	k_Bacteria	p_Firmicutes	c_Tissierellia	o_Tissierellales	f_Peptoniphilaceae	g_Helcococcus	s_Helcococcus ovis
Unclassified Helcococcus	k_Bacteria	p_Firmicutes	c_Tissierellia	o_Tissierellales	f_Peptoniphilaceae	g_Helcococcus	s_Unclassified Helcococcus
Parvimonas micra	k_Bacteria	p_Firmicutes	c_Tissierellia	o_Tissierellales	f_Peptoniphilaceae	g_Parvimonas	s_Parvimonas micra
Parvimonas sp.	k_Bacteria	p_Firmicutes	c_Tissierellia	o_Tissierellales	f_Peptoniphilaceae	g_Parvimonas	s_Parvimonas sp.
Unclassified Parvimonas	k_Bacteria	p_Firmicutes	c_Tissierellia	o_Tissierellales	f_Peptoniphilaceae	g_Parvimonas	s_Unclassified Parvimonas
Unclassified Peptoniphilaceae	k_Bacteria	p_Firmicutes	c_Tissierellia	o_Tissierellales	f_Peptoniphilaceae	g_Unclassified Peptoniphilaceae	s_Unclassified Peptoniphilaceae
Unclassified Tissierellales	k_Bacteria	p_Firmicutes	c_Tissierellia	o_Tissierellales	f_Unclassified Tissierellales	g_Unclassified Tissierellales	s_Unclassified Tissierellales
Unclassified Tissierellia	k_Bacteria	p_Firmicutes	c_Tissierellia	o_Unclassified Tissierellia	f_Unclassified Tissierellia	g_Unclassified Tissierellia	s_Unclassified Tissierellia
Unclassified Firmicutes	k_Bacteria	p_Firmicutes	c_Unclassified Firmicutes	o_Unclassified Firmicutes	f_Unclassified Firmicutes	g_Unclassified Firmicutes	s_Unclassified Firmicutes
Fusobacterium hwasookii	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Fusobacteriaceae	g_Fusobacterium	s_Fusobacterium hwasookii
Fusobacterium massiliense	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Fusobacteriaceae	g_Fusobacterium	s_Fusobacterium massiliense
Fusobacterium naviforme	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Fusobacteriaceae	g_Fusobacterium	s_Fusobacterium naviforme
Fusobacterium nucleatum	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Fusobacteriaceae	g_Fusobacterium	s_Fusobacterium nucleatum
Fusobacterium periodonticum	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Fusobacteriaceae	g_Fusobacterium	s_Fusobacterium periodonticum
Fusobacterium pseudoperiodonticum	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Fusobacteriaceae	g_Fusobacterium	s_Fusobacterium pseudoperiodonticum
Fusobacterium sp.	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Fusobacteriaceae	g_Fusobacterium	s_Fusobacterium sp.
Unclassified Fusobacterium	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Fusobacteriaceae	g_Fusobacterium	s_Unclassified Fusobacterium
Unclassified Fusobacteriaceae	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Fusobacteriaceae	g_Unclassified Fusobacteriaceae	s_Unclassified Fusobacteriaceae
Leptotrichia buccalis	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Leptotrichiaceae	g_Leptotrichia	s_Leptotrichia buccalis
Leptotrichia hofstadii	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Leptotrichiaceae	g_Leptotrichia	s_Leptotrichia hofstadii
Leptotrichia hongkongensis	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Leptotrichiaceae	g_Leptotrichia	s_Leptotrichia hongkongensis
Leptotrichia massiliensis	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Leptotrichiaceae	g_Leptotrichia	s_Leptotrichia massiliensis
Leptotrichia shahii	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Leptotrichiaceae	g_Leptotrichia	s_Leptotrichia shahii
Leptotrichia sp.	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Leptotrichiaceae	g_Leptotrichia	s_Leptotrichia sp.
Leptotrichia trevisanii	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Leptotrichiaceae	g_Leptotrichia	s_Leptotrichia trevisanii
Leptotrichia wadei	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Leptotrichiaceae	g_Leptotrichia	s_Leptotrichia wadei
Unclassified Leptotrichia	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Leptotrichiaceae	g_Leptotrichia	s_Unclassified Leptotrichia
Pseudoleptotrichia goodfellowii	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Leptotrichiaceae	g_Pseudoleptotrichia	s_Pseudoleptotrichia goodfellowii
Unclassified Pseudoleptotrichia	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Leptotrichiaceae	g_Pseudoleptotrichia	s_Unclassified Pseudoleptotrichia
Sneathia sanguinegens	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Leptotrichiaceae	g_Sneathia	s_Sneathia sanguinegens
Streptobacillus hongkongensis	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Leptotrichiaceae	g_Streptobacillus	s_Streptobacillus hongkongensis
Streptobacillus moniliformis	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Leptotrichiaceae	g_Streptobacillus	s_Streptobacillus moniliformis
Unclassified Streptobacillus	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Leptotrichiaceae	g_Streptobacillus	s_Unclassified Streptobacillus
Unclassified Leptotrichiaceae	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Leptotrichiaceae	g_Unclassified Leptotrichiaceae	s_Unclassified Leptotrichiaceae
Unclassified Fusobacteriales	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Fusobacteriales	f_Unclassified Fusobacteriales	g_Unclassified Fusobacteriales	s_Unclassified Fusobacteriales
Unclassified Fusobacteriia	k_Bacteria	p_Fusobacteria	c_Fusobacteriia	o_Unclassified Fusobacteriia	f_Unclassified Fusobacteriia	g_Unclassified Fusobacteriia	s_Unclassified Fusobacteriia
Unclassified Fusobacteria	k_Bacteria	p_Fusobacteria	c_Unclassified Fusobacteria	o_Unclassified Fusobacteria	f_Unclassified Fusobacteria	g_Unclassified Fusobacteria	s_Unclassified Fusobacteria
Rhizobium leguminosarum	k_Bacteria	p_Proteobacteria	c_Alphaproteobacteria	o_Hyphomicrobiales	f_Rhizobiaceae	g_Rhizobium	s_Rhizobium leguminosarum
Aquabacterium parvum	k_Bacteria	p_Proteobacteria	c_Betaproteobacteria	o_Burkholderiales	f_Aquabacterium (no family in NCBI)	g_Aquabacterium	s_Aquabacterium parvum
Burkholderia cenocepacia	k_Bacteria	p_Proteobacteria	c_Betaproteobacteria	o_Burkholderiales	f_Burkholderiaceae	g_Burkholderia	s_Burkholderia cenocepacia
Unclassified Burkholderia	k_Bacteria	p_Proteobacteria	c_Betaproteobacteria	o_Burkholderiales	f_Burkholderiaceae	g_Burkholderia	s_Unclassified Burkholderia
