ta1	ta2	ta3	ta4	ta5	ta6	ta7
Unclassified Kocuria	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Micrococcaceae	g_Kocuria	s_Unclassified Kocuria
Micrococcus sp.	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Micrococcaceae	g_Micrococcus	s_Micrococcus sp.
Rothia aeria	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Micrococcaceae	g_Rothia	s_Rothia aeria
Rothia aerolata	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Micrococcaceae	g_Rothia	s_Rothia aerolata
Rothia dentocariosa	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Micrococcaceae	g_Rothia	s_Rothia dentocariosa
Rothia mucilaginosa	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Micrococcaceae	g_Rothia	s_Rothia mucilaginosa
Rothia sp.	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Micrococcaceae	g_Rothia	s_Rothia sp.
Unclassified Rothia	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Micrococcaceae	g_Rothia	s_Unclassified Rothia
Unclassified Micrococcaceae	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Micrococcaceae	g_Unclassified Micrococcaceae	s_Unclassified Micrococcaceae
Unclassified Cellulosimicrobium	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Promicromonosporaceae	g_Cellulosimicrobium	s_Unclassified Cellulosimicrobium
Isoptericola variabilis	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Promicromonosporaceae	g_Isoptericola	s_Isoptericola variabilis
Unclassified Isoptericola	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Promicromonosporaceae	g_Isoptericola	s_Unclassified Isoptericola
Unclassified Promicromonosporaceae	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Promicromonosporaceae	g_Unclassified Promicromonosporaceae	s_Unclassified Promicromonosporaceae
Sanguibacter keddieii	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Sanguibacteraceae	g_Sanguibacter	s_Sanguibacter keddieii
Unclassified Sanguibacteraceae	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Sanguibacteraceae	g_Unclassified Sanguibacteraceae	s_Unclassified Sanguibacteraceae
Unclassified Micrococcales	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micrococcales	f_Unclassified Micrococcales	g_Unclassified Micrococcales	s_Unclassified Micrococcales
Micromonospora aurantiaca	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Micromonosporales	f_Micromonosporaceae	g_Micromonospora	s_Micromonospora aurantiaca
Unclassified Aeromicrobium	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Propionibacteriales	f_Nocardioidaceae	g_Aeromicrobium	s_Unclassified Aeromicrobium
Unclassified Nocardioidaceae	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Propionibacteriales	f_Nocardioidaceae	g_Unclassified Nocardioidaceae	s_Unclassified Nocardioidaceae
Acidipropionibacterium thoenii	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Propionibacteriales	f_Propionibacteriaceae	g_Acidipropionibacterium	s_Acidipropionibacterium thoenii
Arachnia propionica	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Propionibacteriales	f_Propionibacteriaceae	g_Arachnia	s_Arachnia propionica
Arachnia rubra	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Propionibacteriales	f_Propionibacteriaceae	g_Arachnia	s_Arachnia rubra
Unclassified Arachnia	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Propionibacteriales	f_Propionibacteriaceae	g_Arachnia	s_Unclassified Arachnia
Cutibacterium acnes	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Propionibacteriales	f_Propionibacteriaceae	g_Cutibacterium	s_Cutibacterium acnes
Unclassified Cutibacterium	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Propionibacteriales	f_Propionibacteriaceae	g_Cutibacterium	s_Unclassified Cutibacterium
Microlunatus sp.	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Propionibacteriales	f_Propionibacteriaceae	g_Microlunatus	s_Microlunatus sp.
Propionibacterium acidifaciens	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Propionibacteriales	f_Propionibacteriaceae	g_Propionibacterium	s_Propionibacterium acidifaciens
Propionibacterium freudenreichii	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Propionibacteriales	f_Propionibacteriaceae	g_Propionibacterium	s_Propionibacterium freudenreichii
Propionibacterium sp.	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Propionibacteriales	f_Propionibacteriaceae	g_Propionibacterium	s_Propionibacterium sp.
Unclassified Propionibacterium	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Propionibacteriales	f_Propionibacteriaceae	g_Propionibacterium	s_Unclassified Propionibacterium
Unclassified Tessaracoccus	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Propionibacteriales	f_Propionibacteriaceae	g_Tessaracoccus	s_Unclassified Tessaracoccus
Unclassified Propionibacteriaceae	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Propionibacteriales	f_Propionibacteriaceae	g_Unclassified Propionibacteriaceae	s_Unclassified Propionibacteriaceae
Unclassified Propionibacteriales	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Propionibacteriales	f_Unclassified Propionibacteriales	g_Unclassified Propionibacteriales	s_Unclassified Propionibacteriales
Unclassified Streptomyces	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Streptomycetales	f_Streptomycetaceae	g_Streptomyces	s_Unclassified Streptomyces
Unclassified Streptomycetaceae	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Streptomycetales	f_Streptomycetaceae	g_Unclassified Streptomycetaceae	s_Unclassified Streptomycetaceae
Thermobifida sp.	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Streptosporangiales	f_Nocardiopsaceae	g_Thermobifida	s_Thermobifida sp.
Unclassified Actinomycetia	k_Bacteria	p_Actinobacteria	c_Actinomycetia	o_Unclassified Actinomycetia	f_Unclassified Actinomycetia	g_Unclassified Actinomycetia	s_Unclassified Actinomycetia
Atopobium sp.	k_Bacteria	p_Actinobacteria	c_Coriobacteriia	o_Coriobacteriales	f_Atopobiaceae	g_Atopobium	s_Atopobium sp.
Unclassified Atopobium	k_Bacteria	p_Actinobacteria	c_Coriobacteriia	o_Coriobacteriales	f_Atopobiaceae	g_Atopobium	s_Unclassified Atopobium
Lancefieldella rimae	k_Bacteria	p_Actinobacteria	c_Coriobacteriia	o_Coriobacteriales	f_Atopobiaceae	g_Lancefieldella	s_Lancefieldella rimae
Unclassified Lancefieldella	k_Bacteria	p_Actinobacteria	c_Coriobacteriia	o_Coriobacteriales	f_Atopobiaceae	g_Lancefieldella	s_Unclassified Lancefieldella
Olsenella sp.	k_Bacteria	p_Actinobacteria	c_Coriobacteriia	o_Coriobacteriales	f_Atopobiaceae	g_Olsenella	s_Olsenella sp.
Unclassified Olsenella	k_Bacteria	p_Actinobacteria	c_Coriobacteriia	o_Coriobacteriales	f_Atopobiaceae	g_Olsenella	s_Unclassified Olsenella
Unclassified Atopobiaceae	k_Bacteria	p_Actinobacteria	c_Coriobacteriia	o_Coriobacteriales	f_Atopobiaceae	g_Unclassified Atopobiaceae	s_Unclassified Atopobiaceae
Unclassified Collinsella	k_Bacteria	p_Actinobacteria	c_Coriobacteriia	o_Coriobacteriales	f_Coriobacteriaceae	g_Collinsella	s_Unclassified Collinsella
Unclassified Coriobacteriales	k_Bacteria	p_Actinobacteria	c_Coriobacteriia	o_Coriobacteriales	f_Unclassified Coriobacteriales	g_Unclassified Coriobacteriales	s_Unclassified Coriobacteriales
Unclassified Eggerthella	k_Bacteria	p_Actinobacteria	c_Coriobacteriia	o_Eggerthellales	f_Eggerthellaceae	g_Eggerthella	s_Unclassified Eggerthella
Unclassified Eggerthellaceae	k_Bacteria	p_Actinobacteria	c_Coriobacteriia	o_Eggerthellales	f_Eggerthellaceae	g_Unclassified Eggerthellaceae	s_Unclassified Eggerthellaceae
Unclassified Coriobacteriia	k_Bacteria	p_Actinobacteria	c_Coriobacteriia	o_Unclassified Coriobacteriia	f_Unclassified Coriobacteriia	g_Unclassified Coriobacteriia	s_Unclassified Coriobacteriia
Unclassified Actinobacteria	k_Bacteria	p_Actinobacteria	c_Unclassified Actinobacteria	o_Unclassified Actinobacteria	f_Unclassified Actinobacteria	g_Unclassified Actinobacteria	s_Unclassified Actinobacteria
Bacteroidetes bacterium	k_Bacteria	p_Bacteroidetes	c_Bacteroidetes bacterium (no class in NCBI)	o_Bacteroidetes bacterium (no order in NCBI)	f_Bacteroidetes bacterium (no family in NCBI)	g_Bacteroidetes bacterium (no genus in NCBI)	s_Bacteroidetes bacterium
Bacteroidetes oral	k_Bacteria	p_Bacteroidetes	c_Bacteroidetes oral (no class in NCBI)	o_Bacteroidetes oral (no order in NCBI)	f_Bacteroidetes oral (no family in NCBI)	g_Bacteroidetes oral (no genus in NCBI)	s_Bacteroidetes oral
Bacteroidaceae bacterium	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Bacteroidaceae	g_Bacteroidaceae bacterium (no genus in NCBI)	s_Bacteroidaceae bacterium
Bacteroides fragilis	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Bacteroidaceae	g_Bacteroides	s_Bacteroides fragilis
Bacteroides propionicifaciens	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Bacteroidaceae	g_Bacteroides	s_Bacteroides propionicifaciens
Bacteroides pyogenes	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Bacteroidaceae	g_Bacteroides	s_Bacteroides pyogenes
Unclassified Bacteroides	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Bacteroidaceae	g_Bacteroides	s_Unclassified Bacteroides
Phocaeicola abscessus	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Bacteroidaceae	g_Phocaeicola	s_Phocaeicola abscessus
Phocaeicola sp.	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Bacteroidaceae	g_Phocaeicola	s_Phocaeicola sp.
Unclassified Phocaeicola	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Bacteroidaceae	g_Phocaeicola	s_Unclassified Phocaeicola
Unclassified Bacteroidaceae	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Bacteroidaceae	g_Unclassified Bacteroidaceae	s_Unclassified Bacteroidaceae
Unclassified Candidatus Ordinivivax	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Candidatus Ordinivivax (no family in NCBI)	g_Candidatus Ordinivivax	s_Unclassified Candidatus Ordinivivax
Unclassified Dysgonomonas	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Dysgonomonadaceae	g_Dysgonomonas	s_Unclassified Dysgonomonas
Porphyromonadaceae bacterium	k_Bacteria	p_Bacteroidetes	c_Bacteroidia	o_Bacteroidales	f_Porphyromonadaceae	g_Porphyromonadaceae bacterium (no genus in NCBI)	s_Porphyromonadaceae bacterium
