SampleID	Group
10423.4LSF7VPL13FAM	sandiego
10423.13P1QSX5GRCK9	sandiego
10423.6F7KL24PE33ZP	sandiego
10423.3R8AVBRES5ADY	sandiego
10423.13915LE467GS7	sandiego
10423.569F8N9ILRO6T	sandiego
10423.77BLOYO6IZW42	sandiego
10423.6SHK3W84P2PFS	sandiego
10423.44IAE5UU34VU1	sandiego
10423.F7WF5LW945NK	sandiego
10423.2VK51QZNATG15	sandiego
10423.6R5IC9N0TF23M	toronto
10423.4P7APJ6AB32M9	toronto
10423.42A7G47NMDGXR	toronto
10423.27J0BB7FDQ4WI	toronto
10423.52PAIZ189CLYD	toronto
10423.2EA0814WCUWKK	toronto
10423.QPTL5L6DW7ZF	sandiego
10423.5V1BXHC81JBYR	sandiego
10423.2ZF14LZDVCZ4U	sandiego
10423.2KKZJJJC1FSGK	sandiego
10423.2CXYGEJSH798E	sandiego
10423.50H7KXE1SL723	toronto
10423.5TPA5UR45VOML	sandiego
10423.60WANS7MFKC2P	sandiego
10423.VWRFN60U3EFA	sandiego
10423.133RXKMJ3S1VE	sandiego
10423.1P4U0KJ37DVZS	sandiego
10423.45H2N5WU936DD	sandiego
10423.1HHSXFJJN5CRM	sandiego
10423.6LTB9RALASGQY	sandiego
10423.1KNDOZD8F7EN	sandiego
10423.4OE0LP45ATU1D	sandiego
10423.2TET6ACEEWK43	sandiego
10423.1D9NBY0PCWGV3	sandiego
10423.37KTVJHWAZX4A	sandiego
10423.2DWQPELSN5JRQ	sandiego
10423.2SARP9IT6IUNY	toronto
10423.72Y6VGDR6BLAQ	toronto
10423.25TP1237SD4RI	toronto
10423.1C5LUX744IREY	toronto
10423.4TCY5KXH3R2L7	toronto
10423.AMHB1JY95WY7	toronto
10423.2ZG7WKEOXDQ1	toronto
10423.2Y5QFKE7KJURW	toronto
10423.OKHPOXXHZC2D	toronto
10423.5SW020OZ5MG1P	toronto
10423.56EXDT9DRGQ59	toronto
10423.4JXUPLTSDB08T	toronto
10423.66M062BFR5X9U	toronto
10423.2HBM722HX573D	toronto
10423.7LN4JDTJKSB2P	toronto
10423.43JR2B140G8CC	toronto
10423.651Y3TYT88C1N	sandiego
10423.7RQ3KAGGM392O	sandiego
10423.2FRK4TPVE7LV6	sandiego
10423.7RA2Z2XFBJDAM	sandiego
10423.1197FAQQFZMTL	sandiego
10423.3WFHMYKJBM3VG	sandiego
10423.7DMTXMAWAUF1P	sandiego
10423.1MU8X34991L5X	sandiego
10423.3OCFYM1YGTOV8	sandiego
10423.7RCU1NXCWDW9U	sandiego
10423.20K914QPUL2E2	sandiego
10423.6Q1PSE1POAZP4	sandiego
10423.Z94RUV2MI5TC	sandiego
10423.5OQLJ462G834E	sandiego
10423.30BB869QJQDQL	sandiego
10423.4Z4WW5KNTNWOA	toronto
10423.2OXOMXXOKW1O	toronto
10423.6TN6G9LNYTO7L	sandiego
10423.141DZC8JQ92R6	sandiego
10423.62E3HQ0VK6OEY	toronto
10423.4Q4WRASAXK3I1	toronto
10423.77BUIVT5QRVAY	toronto
10423.B801F2UPEUOP	sandiego
10423.7RJF7W0LWWXGO	sandiego
10423.4RXWE845JZ986	toronto
10423.6EAD7EMN9I2S1	toronto
10423.LB49ZDSI72UF	sandiego
10423.V7KCLFHCSB3N	toronto
10423.2I554T9M56EV5	sandiego
10423.5NXBFA3XFYUJI	sandiego
10423.2S0I354M9G018	sandiego
10423.7D85AM3IYE5JO	sandiego
10423.GK70PBZCJS6M	sandiego
10423.301VT6TY9PJ5D	sandiego
10423.24KE8SEQM2CJT	sandiego
10423.5MH3GOUMCPRIX	toronto
10423.1HON0SV2QY103	sandiego
10423.1V3VRNQ34D1CZ	toronto
10423.1X1G9NU3G9MFN	sandiego
10423.71P50BXK3AG4O	toronto
10423.5W0D0EJ7F9LOZ	toronto
10423.5VN3L03EL1WQW	toronto
10423.1VGB35AS70E4B	toronto
10423.4X0MOL45CAXY	sandiego
10423.3V4RTJB3E22TB	sandiego
10423.SBGIQHQY72JA	sandiego
10423.WCJ3PGS1DN5P	toronto
10423.7CJ1AIMAA8OSG	toronto
10423.444RYE3GA5VZK	toronto
10423.3ZQ6XND1E0BIO	toronto
10423.RBL8OCCXESRK	toronto
10423.6VN93PHBSB57U	sandiego
10423.1KWAU7NBOUGA	toronto
10423.7IPLL57JJG5T5	sandiego
10423.1E0O7HJGYUGK1	toronto
10423.2QMSD7Q9J9GSZ	toronto
10423.2HFP7UE3G3CCM	toronto
10423.2D3PIPRXQ5Y8H	toronto
10423.6SKK0ED1HP7LW	toronto
10423.3HPJ2OG30N2GF	toronto
10423.5AJ5OFSTSYN6	toronto
10423.4NFQ3RFEFX5QK	sandiego
10423.7HHPX97BZWAAN	toronto
10423.3EETRZNKY8UT7	toronto
10423.4PU5E40UPFMMS	toronto
10423.5TH0Y3RBFC3OX	toronto
10423.2KX2UXMG7NVLU	toronto
10423.59GJ9M3OG9CTB	sandiego
10423.18O84LVGHGKAZ	toronto
10423.4T56OWAXO93W2	toronto
10423.24CMYJYSXJPK6	sandiego
10423.P7CE9SHWBW2W	sandiego
10423.6B7X18QN25S7Q	sandiego
10423.1Y9NXNBVW8RK7	sandiego
10423.2WWOKFY0HIPLU	toronto
10423.4AW9PEHHFTXQW	sandiego
10423.1S96YYDBH11N2	sandiego
10423.175I3SXSS497K	toronto
10423.1CSGJI1OIVBFH	toronto
10423.4CXOB1OT7F116	sandiego
10423.1WRM6KACOCS6B	toronto
10423.7DETJSG2S2TAX	sandiego
10423.E1LMM5MQXJGQ	sandiego
10423.4T7XRHAV93MVA	sandiego
10423.4W41LC8LNOVFN	toronto
10423.76YTXEIC4C5JR	sandiego
10423.6WY7R1VQXN5GV	sandiego
10423.2BJEG43Q8H23W	sandiego
